"Timestamp","Es plānoju samazināt pārtikas atkritumus mājsaimniecībā","Kādā veidā Jūs samaziniet savu atkritumu daudzumu?","Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Kāda ir Jūsu uztura izvēle?","Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?","Vai varat īsi paskaidrot, kāpēc izvēlējāties iepriekš minētās darbības? (īsi pamatot, piemēram, ēst vairāk sezonālo augļu un dārzeņu, jo tie ir lētāki).","Kāda veida transportlīdzekļus Jūs izmantojat?","Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?","Kāpēc neizvēlējāties kādu rīcību no augšā minētajām?","Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?","Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?","Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?","Ja neveicat kādu no šīm darbībām, kāpēc ne?","Kādā mājokļa tipā Jūs dzīvojat?","Ja Jūsu izvēle nav saistīta ar financēm, kāpēc Jūs izvēlējāties šo mājokļa tipu?","Vai Jūs atteiktos no liekas mājokļa platības?","Kāpēc?","Vai Jūs būtu ar mieru dzīvot koplietojamā mājoklī?","Kāpēc?","Vai Jūsu dzīvesvieta ir papildus nosiltināta?","Ja atbildējāt ""nē"", paskaidrojiet, kāpēc?","Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?","Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?","Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?","Kāpēc?","Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?","Kurš no apgalvojumiem par Jums ir patiess?","Kāds ir Jūsu dzimums?","Kāds ir Jūsu vecums?","Kāds ir augstākais Jūsu iegūtais izglītības līmenis?"," Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?","Kāds ir Jūsu pašreizējais nodarbinātības statuss?","Kāda ir Jūsu dzīvesvieta?"
"2024/02/22 8:56:23 AM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm","Jo tādā veidā es piedalos aprites ekonomikā un taupu planētas resursus, bet tas ir nozīmīgi arī manai veselībai.","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds;Staigāju ar kājām","Biežāk izmantotu sabiedrisko transportu","Lai samazinātu degvielas patēriņu, kā arī taupītu laiku sastrēgumu dēļ","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es izmantoju energoefektīvu apgaismojumu (LED);Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","Grūti atteikties no karstā ūdens lietošanas, un patīk, ka mājās ir silts","man ir divas mājvietas: vasaras un ziemas","ziemā vieglāk ar pilsētas komunālajiem pakalpojumiem un tuvāk darba vietai, vasarā iespēja kopt dārzu un būt svaigā gaisā","Jā","","","resursu taupīšanas nolūkos","Nē","daudzīvokļu mājas problēma vienoties starp īpašniekiem, otra māja būvēta kā vasaras māja","centrālā apkure un malka vai briketes","Man nav mājdzīvnieku","dodos atvaļinājumā gan ar auto, gan moto, gan avio","patīk daudzveidība","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Nepērkot preces, es tērēju vairāk naudas nesaistītām aktivitātēm","Sieviete","41-50 gadi","Augtākā izglītība, maģistrs","No 3 001 EUR līdz 4 500 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/22 8:59:24 AM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Kompostēju pāri palikušo ēdienu","Jā, es uzskatu, ka tas palīdz taupīt naudu","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Es esmu par veselīgo dzīves veidu ","Personīgais transportlīdzeklis, ar kuru pats braucu;Velosipēds","Braukt ar velosipēdu ","Nav iespējas ","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru","Nav ērti ","Jā","No ienākumiem ","Nē","","","Cits","Nē","Nav naudas tam","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Es dodos atvaļinājumā ar automašīnu nevis lidmašīnu","Ērtāk ","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas","Es samazinu savu darba laiku un patēriņu precēm","Vīrietis","41-50 gadi","Augtākā izglītība, maģistrs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/22 9:09:32 AM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Kompostēju pāri palikušo ēdienu","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst vairāk bioloģiskos dārzeņus un augļus;Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm","Ēst pašu audzētus dārzeņus","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Velosipēds;Staigāju ar kājām","Iegādātos mazāku automašīnu","","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Es pērku ierīces ar nelielu defektu vai bojājumu, salaboju to un lietoju;Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","Daru to ko varu pagūt","Nē, man ir privātmāja","Nekorekts jautājums","Varbūt, ja tiešām būtu pietiekami lielas neizmantotas telpas.","","","Lai samazinātu uzturēšanas izmaksas","Jā","","Rīgas siltums nodrošina apkuri","Man nav mājdzīvnieku","Es dodos atvaļinājumā ar automašīnu nevis lidmašīnu;Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","Tapēc, ka man tā patīk","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Pērku nedaudz deformētas vai bojātas lietas, salaboju un nēsāju","Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Vīrietis","51-60 gadi","Augtākā izglītība, bakalaurs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/22 9:16:36 AM GMT+2","Jā","Kompostēju pāri palikušo ēdienu","Jā, es to jau daru","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Iespējams mūsu dārzeņi un augļi ir ar mazāk kaitīgām vielām.","Personīgais transportlīdzeklis, ar kuru pats braucu;Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Staigāju ar kājām","Biežāk izmantotu sabiedrisko transportu","Izmantojot sabiedrisko tr. Liels laika zudums, ja dzīvo ārpus Rīgas.  Nav izveidoti stāvlaukumi pierīgā, lai izmantotu sabiedrisko tr. ērti.","Manā apkārtnē nav darba vietas vai mācību iestādes, tāpēc braucu tālu","Es vienkārši izmetu savu veco ierīci;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es izmantoju energoefektīvu apgaismojumu (LED);Mēģinam izslēgt gaismu mājās ja neatrodamies telpā, naktī ārpusē slēdzam ārā apgaismojumu.",".","Nē, man ir privātmāja","Ģimenei draudzīgāks, svaigā gaisā mežā.","Nē","","","Galvenais ir ērts izvietojums, lai katram ir sava telpa.","Nē","Līdzekļu trūkums, siltināšana atmaksājas ilgā termiņā, bet tā ir mājas darāmo darbu sarakstā.","Granulas","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Es dodos atvaļinājumā ar automašīnu nevis lidmašīnu;Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu;Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","Pēc iespējām izmantojam atbilstošāko transporya veidu.","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","31-40 gadi","Augtākā izglītība, bakalaurs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Piepilsēta"
"2024/02/22 9:43:56 AM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, es to jau daru","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus","Jo nevēlos atteikties no gaļas produktiem","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds;Staigāju ar kājām","","Man nav mašīnas","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es kopā ar kaimiņiem kopā lietoju vienu ierīci (piemēram, kopīga veļasmazgāšanas mašīna)","","Kojās","","Nē","","Jā","","Jā","","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Bieži lidoju ar lidmašīnu uz ārzemēm","Esmu internacionāls students","Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","0-20 gadi","Vidusskola","Mazāk par 600 EUR","Daļslodze un students","Piepilsēta"
"2024/02/22 9:59:02 AM GMT+2","Nē","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, es to jau daru","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Cik, atkritumu sanāk, tik sanāk. Ja neko ikdienā neko nemaina tad grūti samazināt atkritumus. Dzeru tējas tāpēc izmantoju krāna ūdeni Ēdu to, kas ir kaut cik veselīgs, garšīgs un to ko gribās.","Personīgais transportlīdzeklis, ar kuru pats braucu;Vilciens;Staigāju ar kājām","Iegādātos mazāku automašīnu;Parastās automašīnas vietā iegādātos elektromašīnu;Biežāk izmantotu sabiedrisko transportu","Neizmantotu kopbraukšanu, jo nesakrīt laiki un maršruti ar citiem cilvēkiem.","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es pērku ierīces ar nelielu defektu vai bojājumu, salaboju to un lietoju;Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","Istabas temperatūru nevaru regulēt.","Dzīvoklī","dzīvoju dzīvokli jo vēlos privātumu","Nē","","","Tā jau maza platība uz kopējo cilvēku daudzumu.","Nē","dzīvokļu mājā, īpašniekiem tā nav bijusi svarīga lieta, nav izveidots projekts, atlikta nauda.","Es nomainīju apkures sistēmu uz biomasas apkures katlu;Es apsildu māju ar dabasgāzi","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas;Es iegādājos to barību, kurai ir vismazāk CO2 pēdu","Es dodos atvaļinājumā ar automašīnu nevis lidmašīnu;Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu;Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","baigi neatpūšos, bet kad  atpūšos, tad pārāk tālu nebraucu","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","21-30 gadi","Vidusskola","Nevēlos izpaust","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/22 10:13:10 AM GMT+2","Nē","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu veģetarietis","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst vairāk sezonālos dārzeņus un augļus","Uzņemt vitamīnu un minerālvielu daudzumu lielāku, kā arī samazināt dzīvnieku izcelsmes produktus, jo tie nav veselīgi ","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds;Staigāju ar kājām","","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku)","","Dzīvoklī","","Jā","Nepieciešmas privātums","Nē","Nelietderīga telpa","Nē","Par dārgu","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu","Nav tik daudz brīvs","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","21-30 gadi","Augtākā izglītība, bakalaurs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/22 10:20:17 AM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu vegāns","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus","Videi draudzīgākas izvēles","Velosipēds","Nav auto","","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Es pērku ierīces ar nelielu defektu vai bojājumu, salaboju to un lietoju;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","","Dzīvoklī","","Jā","Privātums","Nē","","Nē","Dzīvoju 130+ gadus senā vēsturiskā ēkā","Es apsildu māju ar elektroenerģiju","Man nav mājdzīvnieku","Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es veicu ieguldījumus ekoloģiskās un ētiskās zaļajās finansēs;Nepērkot preces, es tērēju vairāk naudas nesaistītām aktivitātēm;Es ziedoju naudu vides aizsardzībai vai vides organizācijai;Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Vīrietis","21-30 gadi","Augtākā izglītība, maģistrs","No 4 501 EUR līdz 6 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/22 10:29:50 AM GMT+2","Nē","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Neuzskatu, ka tas ir nepieciešams","Jā, es to jau daru","Esmu visēdājs","Vides aizsardzības kontekstā neko no šī, uzturu pielāgoju pēc citiem faktoriem","","Personīgais transportlīdzeklis, ar kuru pats braucu;Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Staigāju ar kājām","Vides aizsardzība man nav faktors, izvēloties pārvietošanās veidus","","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","Neko no augstāk minētā nedaru vides faktoru dēļ, bet elementāras taupības dēļ, un tāpēc ka man nav veļas žāvētāja","Dzīvoklī","Jo man nepieder māja?","Nē","Kāpēc man visa dzīve būtu jādzīvo kā kojās?","Nē","","Nē","Nav no manis atkarīgs","Pats es neko neapsildu, bet tas tiek darīts ar gāzi","Man nav mājdzīvnieku","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","21-30 gadi","Augtākā izglītība, bakalaurs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/22 11:39:56 AM GMT+2","Nē","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Jā, es to jau daru","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","tie ir lētāki un labāk garšo","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds","Iegādātos mazāku automašīnu;Izmantotu kopbraukšanu (carsharing);Biežāk izmantotu sabiedrisko transportu","pašlaik esmu students un nevaru atļauties elektrisko mašīnu","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es kopā ar kaimiņiem kopā lietoju vienu ierīci (piemēram, kopīga veļasmazgāšanas mašīna)","","Dzīvoklī","jo esmu students","Jā","jo esmu students xd","Jau dzīvoju","jo man nav nepieciešama liela mājokļa platība","nezinu","","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","pašlaik nevaru atļauties","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Pērku nedaudz deformētas vai bojātas lietas, salaboju un nēsāju;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","21-30 gadi","Augtākā izglītība, bakalaurs","Mazāk par 600 EUR","Students: Pilna laika studijas","Pilsēta"
"2024/02/22 2:12:12 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Izvēloties ēst vairāk sezonālos dārzeņus un augļus, es veicinātu gan savu veselību, gan vides ilgtspēju. izvēloties ēst tik daudz, cik nepieciešams cilvēka organismam, lai būtu veselam, es ievērotu līdzsvarotu un veselīgu uzturu.","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Staigāju ar kājām","","Nav mašīnas vadīšanas tiesību","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es kopā ar kaimiņiem kopā lietoju vienu ierīci (piemēram, kopīga veļasmazgāšanas mašīna)","","Dzīvoklī","Šobrīd pieejamā iespeja","Jā","Nebūtu komforti ","Nē","Nav vajadzīgs, ja dzīvoju viens","Jā","","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Drīzāk vispar neceļoju","Nav intereses un iespēju","Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","0-20 gadi","Vidusskola (procesā)","Nevēlos izpaust","Students: Pilna laika studijas","Pilsēta"
