"Timestamp","Es plānoju samazināt pārtikas atkritumus mājsaimniecībā","Kādā veidā Jūs samaziniet savu atkritumu daudzumu?","Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Kāda ir Jūsu uztura izvēle?","Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?","Vai varat īsi paskaidrot, kāpēc izvēlējāties iepriekš minētās darbības? (īsi pamatot, piemēram, ēst vairāk sezonālo augļu un dārzeņu, jo tie ir lētāki).","Kāda veida transportlīdzekļus Jūs izmantojat?","Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?","Kāpēc neizvēlējāties kādu rīcību no augšā minētajām?","Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?","Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?","Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?","Ja neveicat kādu no šīm darbībām, kāpēc ne?","Kādā mājokļa tipā Jūs dzīvojat?","Ja Jūsu izvēle nav saistīta ar financēm, kāpēc Jūs izvēlējāties šo mājokļa tipu?","Vai Jūs atteiktos no liekas mājokļa platības?","Kāpēc?","Vai Jūs būtu ar mieru dzīvot koplietojamā mājoklī?","Kāpēc?","Vai Jūsu dzīvesvieta ir papildus nosiltināta?","Ja atbildējāt ""nē"", paskaidrojiet, kāpēc?","Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?","Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?","Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?","Kāpēc?","Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?","Kurš no apgalvojumiem par Jums ir patiess?","Kāds ir Jūsu dzimums?","Kāds ir Jūsu vecums?","Kāds ir augstākais Jūsu iegūtais izglītības līmenis?"," Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?","Kāds ir Jūsu pašreizējais nodarbinātības statuss?","Kāda ir Jūsu dzīvesvieta?"
"2024/02/22 2:14:18 PM GMT+2","Jā","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, es plānoju tā darīt","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus","Mūsu organismā. Iespējams labāk uzsūcas dārzeņi, jo vai4āk šķiedrvielu, tie arī satur šķidrumu, piem.burkāni, kāposti, gurķi, tomāti","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.)","Biežāk izmantotu sabiedrisko transportu","","Es izvēlējos dzīvesvietu netālu no sava darba vai mācību iestādes","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es izmantoju energoefektīvu apgaismojumu (LED)","","Dzīvoklī","Latvijā nav iespējams iegādāties privātmāju tik vienkārši, kā gribētos","Nav liekas platības","","Nē","","Jā","","Es apsildu māju ar dabasgāzi","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","Tuvāk un draudzīgāk","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas","Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Sieviete","51-60 gadi","Augtākā izglītība, bakalaurs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/22 2:49:39 PM GMT+2","Jā","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, es uzskatu, ka tas palīdz taupīt naudu","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus","","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Staigāju ar kājām","Izmantotu kopbraukšanu (carsharing);Biežāk izmantotu sabiedrisko transportu","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es samazinu savas istabas temperatūru;Es izmantoju energoefektīvu apgaismojumu (LED)","","Dzīvoklī","","Jā","","Jā","","Jā","","Es apsildu māju ar elektroenerģiju","Man nav mājdzīvnieku","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas","Es samazinu savu darba laiku un patēriņu precēm","Vīrietis","0-20 gadi","Vidusskola","Mazāk par 600 EUR","Students: Pilna laika studijas","Pilsēta"
"2024/02/22 6:10:47 PM GMT+2","Nē","Neuzskatu, ka tas ir nepieciešams","Jā, es to jau daru","neēdu zivju produktus","Nē, neviens no šiem variantiem nešķiet piemērots","Neviens nešķiet piemērots, vēderam nepatīk izmaiņas uzturā.","Personīgais transportlīdzeklis, ar kuru pats braucu","Izmantotu kopbraukšanu (carsharing)","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Dzīvoklī","","Nē","","Nē","","Jā","","Es apsildu māju ar dabasgāzi","Pērku to, ko mājdzīvnieki ēd (kas nav lētākais), jo diemžēl lētākais negaršo ","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","0-20 gadi","Vidusskola","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/22 7:38:34 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Depozīta pudeles, lietojam ūdenim spec.pudeles","Jā, es to jau daru","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Izvēlos pārtiku attiecīgi pēc izmaksām, ne vienmēr var nodrošināt uzturā augļus, jo tie nesezonā ir ar paaugstinātu maksu","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.)","Mašīnai ir gāzes iekārta, līdz ar to CO2izmešu nav","Mazāka mašīna nevar ietilpt visa ģimene, elektro auto ir parak dargs, neizvēlos SAB.transportu, jo izbaudu to brīvību, ko sniedz auto. ","Attālums neietekmē darba izvēli","Vecās iekārtas, ja nav darba kārtībā,  nododu spec.firmām","Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","Samazināta t telpās ir uz minimālo, ja samazinātu vēl, radītu risku trubām sasalt, karstais ūdens nepieciešams ģimenes locekļiem, lai pilvērtīgi uzsāktu dienu, visas elektroiekārtas jau ir ar A klasi, ir privātmāja, tādēļ ar kaimiņiem lietot vienu veļasmašīnu nav pat nācis prātā :) ","Privātmājā","Ģimenes māja","Nē","NĒ!!!!","Nē","","Nē","Nav pagaidām brīvu līdzekļu","Es apsildu māju ar dabasgāzi","Dzīvnieks ir alerģisks, jāiegādājās tāda pārtika, kas ir atbilstoša","Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu","","Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Dažādi, bet ne ar nolūku atbalstīt eko","Sieviete","41-50 gadi","Augtākā izglītība, maģistrs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/23 9:47:47 AM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm","Lielu daļu no šī jau daru. Vienīgā lieta, kas būtu jauninājums ir lielāks fokuss uz sezonālajiem dārzeņiem un augļiem.","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Staigāju ar kājām","","","Es izvēlējos dzīvesvietu netālu no sava darba vai mācību iestādes","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","Ar kaimiņiem nekomunicēju, pat nezinu viņu vārdus. Dalīt ierīču lietošanu būtu jocīgi.","Dzīvoklī","","Jā","Ja būtu nepieciešams es būtu gatavs to darīt, bet nav tā, ka es to gribu darīt. (platība jau šobrīd nav īpaši liela)","Nē","Man patīk mana privātā telpa. ","Nezinu","","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Neiekļaujos nevienā no šiem.","Personīgo transportlīdzekļa man nav, ja ceļoju mēģinu ar vilcieniem, ja tas nav iespējams/praktiski tad lidmašīnu. ","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt","Es samazinu savu darba laiku un patēriņu precēm;Es ziedoju naudu vides aizsardzībai vai vides organizācijai","Vīrietis","Nevēlos izpaust","Augtākā izglītība, bakalaurs","Nevēlos izpaust","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/23 10:27:14 AM GMT+2","Nē","Lietoju vairākreiz lietojamus produktus;Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.)","Jā, es to jau daru","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Pāriet uz veģetāru uzturu (ja neesat veģetārietis);Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Personīgais transportlīdzeklis, ar kuru pats braucu;Sabiedriskais transports - autobuss, trolejbuss, tramvajs","Izmantotu kopbraukšanu (carsharing)","","Manā apkārtnē nav darba vietas vai mācību iestādes, tāpēc braucu tālu","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Dzīvoklī","","Nē","","Nē","","Nē","","Es apsildu māju ar dabasgāzi","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Neviens no šiem","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","21-30 gadi","Augtākā izglītība, maģistrs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/23 3:01:58 PM GMT+2","Nē","Lietoju vairākreiz lietojamus produktus","Jā, es to jau daru","Esmu visēdājs","Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Velosipēds","Izmantotu kopbraukšanu (carsharing)","","Es izvēlējos dzīvesvietu netālu no sava darba vai mācību iestādes","Es iegādājos ierīces tikai ar ekoloģisko sertifikātu","Es samazinu izmantotā karstā ūdens daudzumu","","Dzīvoklī","","Nē","","Jau dzīvoju","","Nē","","Es nomainīju apkures sistēmu uz siltumsūkni","Pērku lētāko;Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes katru sezonu vai tad, kad iznāk jauna kolekcija;Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","0-20 gadi","Profesionālā izglītība","No 601 EUR līdz 1500 EUR","Students: Pilna laika studijas","Pilsēta"
"2024/02/23 3:02:55 PM GMT+2","Nē","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.)","Nē, man nepatīk garša","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Because this kind of diet is similar to my current","Taksometrs (regulāri);Sabiedriskais transports - autobuss, trolejbuss, tramvajs","","I have no car","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","","Dzīvoklī","","Nē","","Jā","","Jā","","Es nezinu, ar ko tiek apsildīta mana māja","Es taisu mantiņas pats no vecām lietām, dodot tām otro dzīvību","Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","0-20 gadi","Profesionālā izglītība","No 601 EUR līdz 1500 EUR","Darbinieks: Pilna slodze","Nevēlos izpaust"
"2024/02/23 3:05:32 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Jā, es uzskatu, ka tas palīdz taupīt naudu","Esmu visēdājs","Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels;Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm","veselīgāk","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Staigāju ar kājām","Biežāk izmantotu sabiedrisko transportu","","Manā apkārtnē nav darba vietas vai mācību iestādes, tāpēc braucu tālu","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es samazinu izmantotā karstā ūdens daudzumu;Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Privātmājā","","Jā","","Nē","","Nē","","Es nomainīju apkures sistēmu uz siltumsūkni","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","","Es pērku jaunas drēbes katru sezonu vai tad, kad iznāk jauna kolekcija;Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī","Nepērkot preces, es tērēju vairāk naudas nesaistītām aktivitātēm;Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Sieviete","0-20 gadi","Pamatskola","Nevēlos izpaust","skolniece","Piepilsēta"
"2024/02/23 3:11:02 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Taksometrs (regulāri);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds;Staigāju ar kājām","Biežāk izmantotu sabiedrisko transportu","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es pērku ierīces ar nelielu defektu vai bojājumu, salaboju to un lietoju;Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","Neerti izmantot kaut ki kopīgo ar kaimiņiem","Dzīvoklī","","Nē","","Nē","","Jā","","Es nomainīju apkures sistēmu uz siltumsūkni","Es iegādājos to barību, kurai ir vismazāk CO2 pēdu;Es izmantoju tikai videi draudzīgu tualetes pildījumu","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Pērku nedaudz deformētas vai bojātas lietas, salaboju un nēsāju;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es samazinu savu darba laiku un patēriņu precēm;Nepērkot preces, es tērēju vairāk naudas nesaistītām aktivitātēm","Sieviete","0-20 gadi","Pamatskola","Nevēlos izpaust","Bezdarbnieks","Pilsēta"
"2024/02/23 3:11:56 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Jā, es to jau daru","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels;Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm","","Personīgais transportlīdzeklis, ar kuru pats braucu;Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Staigāju ar kājām","Iegādātos mazāku automašīnu;Izmantotu kopbraukšanu (carsharing);Biežāk izmantotu sabiedrisko transportu","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es iegādājos ierīces tikai ar ekoloģisko sertifikātu;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Dzīvoklī","","Nē","Lieka platība var noderēt dažādiem mērķiem, piemēram, viesu izmitināšanai, mājas biroja ierīkošanai, hobiju telpas izveidei vai vienkārši kā vieta, kur atpūsties un relaksēties.","Nē","Koplietojamā mājoklī man nebūtu tik daudz privātuma, kā es vēlētos. Man būtu jādalās koplietojamo telpu ar citiem iedzīvotājiem, un man nebūtu savas personīgās telpas, kur es varētu atpūsties un relaksēties.","Jā","","Es nomainīju apkures sistēmu uz siltumsūkni","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu","Lidojumi var būt dārgi, īpaši, ja tos rezervējat pēdējā brīdī. Nedēļas nogales lidojumi bieži vien ir dārgāki nekā lidojumi darba dienās.","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es samazinu savu darba laiku un patēriņu precēm;Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Vīrietis","0-20 gadi","Vidusskola","No 601 EUR līdz 1500 EUR","Darbinieks: Daļslodze","Pilsēta"
"2024/02/23 3:12:34 PM GMT+2","Jā","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Sabiedriskais transports - autobuss, trolejbuss, tramvajs","","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","","Dzīvoklī","","Jā","jo tas ir","Jā","jo man nav nekadas problēmas dzivojot ar citiem cilvēkiem, īpaši, ja tā ir vieglāk visiem","Jā","nav nepieciešamības","Es nezinu, ar ko tiek apsildīta mana māja","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","jo vairāk pavadu laiku majās","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Sieviete","0-20 gadi","Pamatskola","Nevēlos izpaust","Students: Pilna laika studijas","Pilsēta"
"2024/02/23 3:14:05 PM GMT+2","Nē","Neuzskatu, ka tas ir nepieciešams","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Nē, neviens no šiem variantiem nešķiet piemērots","","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Staigāju ar kājām","Neesmu automašīnas īpašnieks","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es nedaru neko no minētā","","Dzīvoklī","","Nē","","Jau dzīvoju","","Jā","","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Nekas no iepriekš minēta ","","Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Nevēlos izpaust","0-20 gadi","Pamatskola","Nevēlos izpaust","Students: Pilna laika studijas","Pilsēta"
