"Timestamp","Es plānoju samazināt pārtikas atkritumus mājsaimniecībā","Kādā veidā Jūs samaziniet savu atkritumu daudzumu?","Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Kāda ir Jūsu uztura izvēle?","Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?","Vai varat īsi paskaidrot, kāpēc izvēlējāties iepriekš minētās darbības? (īsi pamatot, piemēram, ēst vairāk sezonālo augļu un dārzeņu, jo tie ir lētāki).","Kāda veida transportlīdzekļus Jūs izmantojat?","Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?","Kāpēc neizvēlējāties kādu rīcību no augšā minētajām?","Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?","Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?","Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?","Ja neveicat kādu no šīm darbībām, kāpēc ne?","Kādā mājokļa tipā Jūs dzīvojat?","Ja Jūsu izvēle nav saistīta ar financēm, kāpēc Jūs izvēlējāties šo mājokļa tipu?","Vai Jūs atteiktos no liekas mājokļa platības?","Kāpēc?","Vai Jūs būtu ar mieru dzīvot koplietojamā mājoklī?","Kāpēc?","Vai Jūsu dzīvesvieta ir papildus nosiltināta?","Ja atbildējāt ""nē"", paskaidrojiet, kāpēc?","Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?","Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?","Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?","Kāpēc?","Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?","Kurš no apgalvojumiem par Jums ir patiess?","Kāds ir Jūsu dzimums?","Kāds ir Jūsu vecums?","Kāds ir augstākais Jūsu iegūtais izglītības līmenis?"," Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?","Kāds ir Jūsu pašreizējais nodarbinātības statuss?","Kāda ir Jūsu dzīvesvieta?"
"2024/02/23 3:32:22 PM GMT+2","Nē","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Pāriet uz veģetāru uzturu (ja neesat veģetārietis);Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels;Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm","","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Velosipēds;Staigāju ar kājām","","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","","Privātmājā","","Nē","","Nē","","Jā","","Es nezinu, ar ko tiek apsildīta mana māja","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas;Es taisu mantiņas pats no vecām lietām, dodot tām otro dzīvību","Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","0-20 gadi","Pamatskola","No 601 EUR līdz 1500 EUR","Students: Pilna laika studijas","Pilsēta"
"2024/02/23 3:35:38 PM GMT+2","Jā","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.)","Jā, es to jau daru","Esmu visēdājs","Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Personīgais transportlīdzeklis, ar kuru pats braucu","Iegādātos mazāku automašīnu","","Es strādāju attālināti","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es izmantoju energoefektīvu apgaismojumu (LED);Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku)","","Dzīvoklī","","Nē","","Nē","","Jā","","Es nomainīju apkures sistēmu uz siltumsūkni","Man nav mājdzīvnieku","Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas","Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Vīrietis","41-50 gadi","Augtākā izglītība, bakalaurs","No 601 EUR līdz 1500 EUR","Pašnodarbināts","Pilsēta"
"2024/02/23 3:45:00 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Pāriet uz veģetāru uzturu (ja neesat veģetārietis);Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm","","Sabiedriskais transports - autobuss, trolejbuss, tramvajs","","","Es izvēlējos dzīvesvietu netālu no sava darba vai mācību iestādes","Es iegādājos ierīces tikai ar ekoloģisko sertifikātu;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Dzīvoklī","","Jā","","Nē","","Nē","","Es apsildu māju ar elektroenerģiju","Man nav mājdzīvnieku","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","21-30 gadi","Vidusskola","No 601 EUR līdz 1500 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/23 4:07:40 PM GMT+2","Nē","Neuzskatu, ka tas ir nepieciešams","Nav relevanti, es gan dzeru ūdeni no krāna, gan citu","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Es gribu normāli ēst un dzert, uzturvielu daudzums gaļas produktos nevar kompensēt ar veģetāro diētu ","Personīgais transportlīdzeklis, ar kuru pats braucu;Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Velosipēds;Staigāju ar kājām","Izmantotu kopbraukšanu (carsharing);Parastās automašīnas vietā iegādātos elektromašīnu;Ja tikai būtu nauda uz kaut kādu mašīnu... ","Sabiedriskais transports nav uzticams vietā kur es dzīvoju ","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā;Izmantoju vecās ierīces eksperimentējot ar tiem","Es samazinu savas istabas temperatūru;Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","Common sense","Dzīvoklī","","Nē","Jo es negribu","Nē","Jo es negribu","Wdym","","Es apsildu māju ar dabasgāzi","Man nav mājdzīvnieku","Kādi ceļojumi? ","","Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","0-20 gadi","Vidusskola","No 601 EUR līdz 1500 EUR","Students: Pilna laika studijas","Piepilsēta"
"2024/02/23 4:48:23 PM GMT+2","Nē","Neuzskatu, ka tas ir nepieciešams","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Nē, neviens no šiem variantiem nešķiet piemērots","Jo man patīk mans dzīvesveids ","Sabiedriskais transports - autobuss, trolejbuss, tramvajs","","man nav mašīnas","Manā apkārtnē nav darba vietas vai mācību iestādes, tāpēc braucu tālu","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es nedaru neko no minētā","jo es pateru nedaudz elektroenerģijas ","Dzīvoklī","","Nē","","Nē","","Nē","","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","21-30 gadi","Augtākā izglītība, bakalaurs","No 601 EUR līdz 1500 EUR","Darbinieks: Daļslodze","Pilsēta"
"2024/02/23 5:11:16 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, es uzskatu, ka tas palīdz taupīt naudu","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Vispirms ea rūpjos par savu veselību, tāpēc es balansēju starp dārzeniem un dzīvniekunproduktiem un apēdu tik daudz, cik mans ķermenis prasa","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Staigāju ar kājām","","Esmu automašīnas iemīļotājs un mīļu katru no mašīnam","Manā apkārtnē nav darba vietas vai mācību iestādes, tāpēc braucu tālu","Es vienkārši izmetu savu veco ierīci;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es izmantoju energoefektīvu apgaismojumu (LED);Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku)","","Dzīvoklī","","Nē","Nekad nezini, kad tā būtu bajadzīga.","Jā","Būs lētāks","Jā","","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu","","Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Vīrietis","0-20 gadi","Vidusskola","Mazāk par 600 EUR","Darbinieks: Daļslodze","Pilsēta"
"2024/02/23 5:22:43 PM GMT+2","Nē","Kompostēju pāri palikušo ēdienu","Ūdens kvalitāte neatbilstoša urbuma ūdenim","Esmu vegāns","Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Sezonālie dārzeņi pieejami Latvijā, lētāka transportēšana līdz patērētājam","Personīgais transportlīdzeklis, ar kuru pats braucu;Velosipēds;Staigāju ar kājām","Neko namainīšu, mans auto labākais auto dubļainiem ceļiem","Lasīt iepriekšējo atbildi","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Es iegādājos ierīces tikai ar ekoloģisko sertifikātu;Es vienkārši izmetu savu veco ierīci","Es izmantoju energoefektīvu apgaismojumu (LED)","","Privātmājā","Ērti, nav kaimiņi aiz sienas","Jā","Man patīk Tiny house koncepts. Visa kā vajag mazāk lai uzturētu to.","Nē","Nekāda koplietošana-tikai savs!!","Jā","","Apsildu ar malku","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Sēžu mājās, skatos Netflix","Tāpēc, ka slinkums kaut kur kustēties","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk;Es nepērku drēbes, man tās dod bez maksas","Nepērkot preces, es tērēju vairāk naudas nesaistītām aktivitātēm","Sieviete","51-60 gadi","Augtākā izglītība, maģistrs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Piepilsēta"
"2024/02/23 5:48:20 PM GMT+2","Jā","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds;Staigāju ar kājām","","","Es izvēlējos dzīvesvietu netālu no sava darba vai mācību iestādes","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es vienkārši izmetu savu veco ierīci","Es izmantoju energoefektīvu apgaismojumu (LED)","","Dzīvoklī","","Nē","","Nē","","Jā","","Es uzstādīju saules paneļus;Es apsildu māju ar elektroenerģiju","Pērku lētāko","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī","Es samazinu savu darba laiku un patēriņu precēm","Vīrietis","21-30 gadi","Vidusskola","No 601 EUR līdz 1500 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/23 6:18:37 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, es to jau daru","Esmu visēdājs","Nē, neviens no šiem variantiem nešķiet piemērots","Es jau tā knapi ēdu. Ja vel sākšu aizvietot ēdienu, tad tikai palikšu pie savas čiabatas. ","Vilciens;Velosipēds;Staigāju ar kājām","","","Es nestrādāju","Es pērku ierīces ar nelielu defektu vai bojājumu, salaboju to un lietoju;Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es izmantoju energoefektīvu apgaismojumu (LED)","Dzīvoju privātmājā. Nejūtos ērti ar kaimiņiem izmantot kopīgas ierīces.","Privātmājā","Es dzīvoju ar vecākiem.","Nē","","Nē","Man jau pietiek ar to, ka draugiem kaimiņi pa sienām sit. Var dzīrdēt caur sienām kā kaimiņi pārguļ.","Jā","","Es nomainīju apkures sistēmu uz siltumsūkni;Es apsildu māju ar dabasgāzi","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Es nedodos atvaļinājumos, jo man nav darba.","Man nav darba.","Es nepērku drēbes. Izmantoju viņas jau kuro gadu. Man nepatīk veikalos iet.","Nepērkot preces, es tērēju vairāk naudas nesaistītām aktivitātēm","Vīrietis","0-20 gadi","Vidusskola","No 1 501 EUR līdz 3 000 EUR","Bezdarbnieks","Pilsēta"
"2024/02/23 6:32:48 PM GMT+2","Nē","Ir svarigi bet nedaru","Jā, es to jau daru","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","tas ir vieglakais veids prieks manis ka es varu samazinat dabas piesainojumu","Personīgais transportlīdzeklis, ar kuru pats braucu","Biežāk izmantotu sabiedrisko transportu","parak liela sevis upuresana","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","prasa parak daudz effort","Dzīvoklī","saistita ar financem","Nē","man ir komfortabli dzivot plasa majokli","Nē","nevelos dalit ar kadu savu privato teritoriju","nezinu","","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","0-20 gadi","","No 601 EUR līdz 1500 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/23 6:39:01 PM GMT+2","Jā","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, es to jau daru","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst vairāk bioloģiskos dārzeņus un augļus;Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm","","Taksometrs (regulāri);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds;Staigāju ar kājām","Iegādātos mazāku automašīnu","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","","Dzīvoklī","","Nē","","Jā","","Jā","","Es nezinu, ar ko tiek apsildīta mana māja","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu","","Es pērku jaunas drēbes katru sezonu vai tad, kad iznāk jauna kolekcija","Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Sieviete","0-20 gadi","Vidusskola","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Daļslodze","Pilsēta"
"2024/02/23 6:50:30 PM GMT+2","Nē","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.)","Jā, es to jau daru","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus","Sezonālo, jo vēlos ieviest dažādību savā uzturā.","Taksometrs (regulāri);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens","Biežāk izmantotu sabiedrisko transportu","","Manā apkārtnē nav darba vietas vai mācību iestādes, tāpēc braucu tālu","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es samazinu savas istabas temperatūru;Es samazinu izmantotā karstā ūdens daudzumu;Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","","Dzīvoklī","","Jā","Jo liekā platība varētu tikt izmantota lietderīgāk.","Nē","Jo man ir nepieciešama sava vide, sava kārtība.","Jā","","Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm","Finanšu dēļ.","Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","0-20 gadi","Augtākā izglītība, bakalaurs","No 1 501 EUR līdz 3 000 EUR","Students: Pilna laika studijas","Pilsēta"
"2024/02/23 7:22:51 PM GMT+2","Nē","Kompostēju pāri palikušo ēdienu","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Vēlos pieņemties svarā","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds;Staigāju ar kājām","","nav mašīnas","Es strādāju attālināti","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Privātmājā","","Nē","Var izmantot","Jā","Draudzība","Jā","","Es uzstādīju saules paneļus;Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Es dodos atvaļinājumā ar automašīnu nevis lidmašīnu","Kā kuru reizi","Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","0-20 gadi","Profesionālā izglītība","No 1 501 EUR līdz 3 000 EUR","Pašnodarbināts","Pilsēta"
"2024/02/23 7:23:43 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Nē ","Personīgais transportlīdzeklis, ar kuru pats braucu;Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds;Staigāju ar kājām","Biežāk izmantotu sabiedrisko transportu","","Man skola ir netālu, tāpēc eju ar kājām ","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Dzīvoklī","","Nē","","Nē","","Jā","","Es nezinu, ar ko tiek apsildīta mana māja","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","0-20 gadi","Vidusskola","No 601 EUR līdz 1500 EUR","Students: Pilna laika studijas","Piepilsēta"
"2024/02/23 7:32:31 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus","Ēst augļus, jo tas var veicināt veselīgāku dzīves veidu.","Sabiedriskais transports - autobuss, trolejbuss, tramvajs","","","Manā apkārtnē nav darba vietas vai mācību iestādes, tāpēc braucu tālu","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā;Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","","Privātmājā","Privātmājā nav skaļu kaimiņu, tuvāk dabai.","Nē","Būs vairāk vietas","Nē","Nepatīk kaimiņi, kas uzraudzītu, ko es daru.","Nē","Mājā nebija ieviesta apsiltināšana","Kurinu ar malku","Pērku lētāko;Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas","Nedodos ceļojumos","Laiks un budžets","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","21-30 gadi","Vidusskola","No 601 EUR līdz 1500 EUR","Students: Pilna laika studijas","Lauki"
